Year,Competition,Location,Gender,Phase,Gate,BIB,Ramp Position,Action,Order,Final Position,Upstream Tactic,Athlete Name,Faults,NOTES & COMMENTS
2025,WCh,Penrith,W,R1,Ramp,R,4,Assigned,,,,MARX Alena,,
2025,WCh,Penrith,W,R1,Ramp,G,3,Assigned,,,,SABATTINI Chiara,,
2025,WCh,Penrith,W,R1,Ramp,B,2,Assigned,,,,ALTMAN Marcella,,
2025,WCh,Penrith,W,R1,Gate 1,R,,Down-Through,1,,,,,
2025,WCh,Penrith,W,R1,Gate 1,G,,Down-Through,2,,,,,
2025,WCh,Penrith,W,R1,Gate 1,B,,Down-Through,3,,,,,
2025,WCh,Penrith,W,R1,Gate 2,R,,Left-Up,1,,Left-Up,,,
2025,WCh,Penrith,W,R1,Gate 2,G,,Right-Up,2,,SPLIT,,,
2025,WCh,Penrith,W,R1,Gate 2,B,,Left-Up,3,,SPLIT,,,
2025,WCh,Penrith,W,R1,Gate 3,R,,Down-Left,1,,,,,
2025,WCh,Penrith,W,R1,Gate 3,G,,Down-Left,2,,,,,
2025,WCh,Penrith,W,R1,Gate 3,B,,Down-Left,3,,,,,
2025,WCh,Penrith,W,R1,Gate 8,R,,Right-Up,1,,Right-Up,,,
2025,WCh,Penrith,W,R1,Gate 8,G,,Left-Up,2,,SPLIT,,,
2025,WCh,Penrith,W,R1,Gate 8,B,,Up,3,,SPLIT,,,
2025,WCh,Penrith,W,R1,Finish,G,,Finish,1,1,,,,
2025,WCh,Penrith,W,R1,Finish,R,,Finish,2,2,,,,
2025,WCh,Penrith,W,R1,Finish,B,,Finish,3,3,,,,
2025,WCh,Penrith,W,R2,Ramp,R,4,Assigned,,,,NOVAK Ajda,,
2025,WCh,Penrith,W,R2,Ramp,G,3,Assigned,,,,LAZKANO Miren,,
2025,WCh,Penrith,W,R2,Ramp,B,2,Assigned,,,,SOKOLOVA Mariia,,
2025,WCh,Penrith,W,R2,Gate 1,R,,Down-Through,1,,,,,
2025,WCh,Penrith,W,R2,Gate 1,G,,Down-Through,2,,,,,
2025,WCh,Penrith,W,R2,Gate 1,B,,Down-Through,3,,,,,
2025,WCh,Penrith,W,R2,Gate 2,R,,Left-Up,1,,Left-Up,,,
2025,WCh,Penrith,W,R2,Gate 2,G,,Right-Up,2,,SPLIT,,,
2025,WCh,Penrith,W,R2,Gate 2,B,,Right-Up,3,,FOLLOW,,,
2025,WCh,Penrith,W,R2,Gate 3,R,,Down-Left,1,,,,,
2025,WCh,Penrith,W,R2,Gate 3,G,,Down-Left,2,,,,,
2025,WCh,Penrith,W,R2,Gate 3,B,,Down-Left,3,,,,,
2025,WCh,Penrith,W,R2,Gate 8,R,,Right-Up,1,,Right-Up,,,
2025,WCh,Penrith,W,R2,Gate 8,G,,Left-Up,2,,SPLIT,,,
2025,WCh,Penrith,W,R2,Gate 8,B,,Left-Up,3,,FOLLOW,,,
2025,WCh,Penrith,W,R2,Finish,R,,Finish,1,1,,,,
2025,WCh,Penrith,W,R2,Finish,G,,Finish,2,2,,,,
2025,WCh,Penrith,W,R2,Finish,B,,Finish,3,3,,,,
2025,WCh,Penrith,W,R3,Ramp,R,4,Assigned,,,,SATILA Ana,,
2025,WCh,Penrith,W,R3,Ramp,G,3,Assigned,,,,KNEBLOVA Tereza,,
2025,WCh,Penrith,W,R3,Ramp,B,2,Assigned,,,,REX Rosie,,
2025,WCh,Penrith,W,R3,Ramp,Y,1,Assigned,,,,PLATA Laura,,
2025,WCh,Penrith,W,R3,Gate 1,R,,Down-Through,1,,,,,
2025,WCh,Penrith,W,R3,Gate 1,G,,Down-Through,2,,,,,
2025,WCh,Penrith,W,R3,Gate 1,B,,Down-Through,3,,,,,
2025,WCh,Penrith,W,R3,Gate 1,Y,,Down-Through,4,,,,,
2025,WCh,Penrith,W,R3,Gate 2,R,,Left-Up,1,,Left-Up,,,
2025,WCh,Penrith,W,R3,Gate 2,G,,Left-Up,2,,FOLLOW,,,
2025,WCh,Penrith,W,R3,Gate 2,B,,Left-Up,3,,FOLLOW,,,
2025,WCh,Penrith,W,R3,Gate 2,Y,,Right-Up,4,,SPLIT,,,
2025,WCh,Penrith,W,R3,Gate 3,Y,,Down,1,,,,,
2025,WCh,Penrith,W,R3,Gate 3,R,,Down,2,,,,,
2025,WCh,Penrith,W,R3,Gate 3,G,,Down,3,,,,,
2025,WCh,Penrith,W,R3,Gate 3,B,,Down,4,,,,,
2025,WCh,Penrith,W,R3,Gate 8,R,,Left-Up,1,,Left-Up,,,
2025,WCh,Penrith,W,R3,Gate 8,Y,,Right-Up,2,,SPLIT,,,
2025,WCh,Penrith,W,R3,Gate 8,G,,Left-Up,3,,SPLIT,,,
2025,WCh,Penrith,W,R3,Gate 8,B,,Right-Up,4,,SPLIT,,,
2025,WCh,Penrith,W,R3,Finish,R,,Finish,1,1,,,,
2025,WCh,Penrith,W,R3,Finish,G,,Finish,2,2,,,,
2025,WCh,Penrith,W,R3,Finish,Y,,Finish,3,3,,,,
2025,WCh,Penrith,W,R3,Finish,B,,Finish,4,4,,,,
