Year,Competition,Location,Gender,Phase,Gate,BIB,Ramp Position,Action,Order,Final Position,Upstream Tactic,Athlete Name,Faults,Contest Statistics,Video Link
2024,OLY,Paris,W,R1,Ramp,R,1,Assigned,,,,PRIGENT Camille,,,
2024,OLY,Paris,W,R1,Ramp,G,2,Assigned,,,,TERCELJ Eva,,,
2024,OLY,Paris,W,R1,Ramp,B,3,Assigned,,,,FISEROVA Tereza,,,
2024,OLY,Paris,W,R1,Gate 1,R,,Down-Left,1,,,,,,
2024,OLY,Paris,W,R1,Gate 1,G,,Down-Left,2,,,,,,
2024,OLY,Paris,W,R1,Gate 1,B,,Down-Left,3,,,,,,
2024,OLY,Paris,W,R1,Course,R,,Roll,1,,,,,,
2024,OLY,Paris,W,R1,Course,G,,Roll,2,,,,,,
2024,OLY,Paris,W,R1,Course,B,,Roll,3,,,,,,
2024,OLY,Paris,W,R1,Gate 2,R,,Right-Up,1,,Right-Up,,,,
2024,OLY,Paris,W,R1,Gate 2,G,,Right-Up,2,,FOLLOW,,,,
2024,OLY,Paris,W,R1,Gate 2,B,,Left-Up,3,,SPLIT,,,,
2024,OLY,Paris,W,R1,Gate 3,R,,Down-Right,1,,,,,,
2024,OLY,Paris,W,R1,Gate 3,B,,Down-Right,2,,,,,,
2024,OLY,Paris,W,R1,Gate 3,G,,Down-Right,3,,,,,,
2024,OLY,Paris,W,R1,Gate 4,R,,Down-Left,1,,,,,,
2024,OLY,Paris,W,R1,Gate 4,G,,Down-Left,2,,,,,,
2024,OLY,Paris,W,R1,Gate 4,B,,Down-Left,3,,,,,,
2024,OLY,Paris,W,R1,Gate 5,R,,Down-Left,1,,,,,,
2024,OLY,Paris,W,R1,Gate 5,G,,Down-Left,2,,,,,,
2024,OLY,Paris,W,R1,Gate 5,B,,Down-Left,3,,,,,,
2024,OLY,Paris,W,R1,Gate 6,R,,Down-Right,1,,,,,,
2024,OLY,Paris,W,R1,Gate 6,G,,Down-Right,2,,,,,,
2024,OLY,Paris,W,R1,Gate 6,B,,Down-Right,3,,,,,,
2024,OLY,Paris,W,R1,Gate 7,R,,Down-Through,1,,,,,,
2024,OLY,Paris,W,R1,Gate 7,G,,Down-Through,2,,,,,,
2024,OLY,Paris,W,R1,Gate 7,B,,Down-Through,3,,,,,,
2024,OLY,Paris,W,R1,Gate 8,R,,Left-Up,1,,Left-Up,,,,
2024,OLY,Paris,W,R1,Gate 8,G,,Left-Up,2,,FOLLOW,,,,
2024,OLY,Paris,W,R1,Gate 8,B,,Left-Up,3,,FOLLOW,,FLT,,
2024,OLY,Paris,W,R1,Finish,R,,Finish,1,1,,,,,
